유형,한글명칭,설명,내용
조직·단체,신라 6부,,"『삼국사기』와 『삼국유사』에서는 유리이사금 9년에 6부의 이름을 바꾸고 성을 내렸다고 전하는데, 특히 『삼국사기』의 기록이 상세하다. 이 기록에 의하면 “양산부는 양부라 하고 성은 이로 하였으며, 고허부는 사량부라 하고 성은 최로 하였다. 대수부는 점량부)라 하고 성은 손으로 하였으며, 간진부는 본피부라 하고 성은 정으로 하였다. 가리부는 한기부라 하고 성은 배로 하였으며, 명활부는 습비부라 하고 성을 설로 하였다”고 전한다. 이처럼 6부의 이름이 바뀌었음을 전하는 사료들은 곧 혁거세 등장 이전 경주 지역에 있던 6촌이 그대로 6부가 되었다는 인식이 반영된 것이다. 특히 『삼국사기』 원문에서는 이를 ‘진한 6부’라고 쓰고 있는데, 신라 건국 이전 경주 지역에 산재했던 여섯 개의 촌을 ‘진한’의 6부라고 한 것은 진한을 곧 신라의 전신으로 보는 후대의 인식이 반영된 것이다. 물론 혹자는 이 기록을 그대로 수용하여 유리이사금 시대에 6촌이 6부로 개편되었다고 보기도 하였다. 그렇지만 6촌과 6부는 ‘6’이라는 숫자만 공통될 뿐 그 실체와 성격이 다르다고 보는 것이 학계의 일반적인 인식이다. 6부의 실제 성립 시기에 대해서는 여러 견해가 제기되고 있는데, 이사금 시기에 6부가 모두 갖추어졌을 것으로 보는 견해, 이사금 시기에는 3개의 집단이었으나 마립간 시기에 분화 또는 재편되어 6부를 이루었다고 추정하는 견해 등이 있다. 특히 양부를 비롯한 6개의 부가 모두 성립한 것은 김씨 족단의 주도권이 확립된 5세기 이후의 일로 이해되고 있으며, 양부와 사량부는 김씨 족단이, 모량부는 박씨 족단이, 한기부는 석씨 족단이, 나머지 본피부와 습비부는 그 외 중소 정치 세력들이 중심을 이루고 있다고 보기도 한다. 또 6부의 성격에 관해서도 여러 해석이 있다. 학계 일각에서는 신라 초기부터 6부가 행정구역으로 편제되어 있었다고 보기도 하지만, 대부분의 연구자는 6부에 대해 상고기 신라를 구성하는 단위 정치체로 존재하였다가 중고기에 접어들면서 법흥왕대 율령 반포를 기점으로 본래의 정치적 기능을 상실해 갔다고 이해하고 있다. 그리고 이후 통일기에 접어들면 6부는 왕경 행정구역으로서의 의미만 가지게 된다고 본다. 특히 6부가 단위 정치체로서의 독자적인 정치 기능을 상실한 시점에 대해서는 포항 중성리 신라비, 포항 냉수리 신라비, 울진 봉평리 신라비의 발견을 계기로 연구자들 간에 다채로운 논의가 이어져 왔다. 각 연구자마다 비문의 내용을 해석하는 방식에 따라 법흥왕 시대까지도 6부가 대등했다고 보는 견해부터 포항 중성리 신라비 이전에 이미 각 부 사이에 우열이 나타나거나 격차가 벌어져있었다는 견해까지 다양한 해석이 제기되었다. 또 신라 6부의 성격을 고구려 부와 비교하여 연구하는 방법이 적절한가 하는 문제도 제기된 바 있다. 한편, 앞서 언급한 신라 초기에 6부의 촌장들에게 성씨가 내려졌다는 기록을 사실로 보기는 어렵다. 이 시기 신라에서는 중국식 성씨 제도가 도입되지 않아 성씨의 개념 자체가 없었다고 보아야 한다. 이때 신라인은 성씨 없이 단지 이름만으로 그들의 정체성을 표현하였다. 그렇기에 6세기 전반에 만들어진 울진 봉평리 신라비 등의 금석문에도 특정 인물에 대한 성씨 사용이 확인되지 않고 단지 이름만 나타나고 있다. 이와 같은 상황은 중국 사서를 통해서도 확인된다. 『양서』 신라전에는 521년 신라의 왕이었던 법흥왕을 ‘모진’이라고 기록하였고, 『남사』에서는 아예 왕의 성이 ‘모’인 것처럼 잘못 전하고 있다. 이러한 자료를 통해 보았을 때 이 시기 신라 왕실에서는 성을 칭하지 않았음을 미루어 알 수 있다. 신라 왕실에서 성을 사용한 것은 진흥왕 시대에 들어와 565년에 북제가 진흥왕을 ‘사지절 동이교위 낙랑군공 신라왕’으로 책봉하면서부터 확인된다. 즉 북제는 진흥왕을 ‘김진흥’이라고 표기하고 있는데, 이것이 신라에서 성씨 사용이 확인되는 최초의 사례가 된다. 따라서 신라 초기에 6촌의 촌장들이 성씨를 사용하였다는 기록은 글자 그대로 받아들이기 어려우며, 신라 사회에서 실제로 성을 사용하게 된 것은 빨라도 진흥왕 시대 이상 거슬러 올라가기 어렵다고 추정된다. 그렇다면 현재 전하는 6촌 촌장들의 성씨 관련 기록은 후대의 6부인이 사용한 성씨가 소급·부회된 것으로 이해할 수 있겠다."
조직·단체,황성신문,,"이렇게 창간된 『황성신문』의 특징과 성격은 어떠했을까. 신문의 지면 구성과 신문사의 인적 기반을 살피면서 그 성격에 접근해보자. 『황성신문』은 기사, 독자 투고, 광고 신청 등이 늘어남에 따라 1899년과 1905년 그리고 1906년, 총 3차례의 신문지 확장개량 작업을 거쳤다. 지면 구성은 크게 논설, 별보, 관보, 잡보, 외보, 광고로 이루어졌다. 이 중 가장 중점적으로 다루어지는 것은 논설이었다. 논설에서는 정치, 경제, 사회, 교육, 군사, 외교 등 다양한 분야에 걸쳐 정부와 관리가 개혁하고 반성해야 할 점을 제시하였다. 또한 자주, 평등, 인권 등의 서구 근대적 사상을 소개하는 한편 한국 사회의 폐단을 지적하여 일반 민중을 계몽하는 역할도 수행했다. 가장 대표적인 사설로는 1905년 11월 20일 자의 신문에서 장지연이 을사조약의 강제 체결을 규탄하였던 「시일야방성대곡」을 들 수 있다. 이 사건으로 인해 황성신문은 정간을 당하기도 하였다. 논설 대신 간혹 별보가 실리기도 했다. 별보는 국내외의 특기할 만한 사건을 보도하는 특별 기사였다. 관보란에는 정부의 칙령, 정책 결정 사항, 관리의 임면 등 정부가 지방 관서나 민에게 고시하는 사항을 담아 발행하는 관보 중 주요 내용을 매일 거의 1개 면에 걸쳐 보도하였다. 관보에 많은 지면을 할애했다는 점, 그리고 1899년 12월 25일부터는 신문의 가장 앞부분에 관보를 게재했다는 점 등을 고려한다면 황성신문과 정부의 밀접한 관계를 짐작해볼 수 있다. 외보란에서는 정치, 군사 분야를 중심으로 세계 각국의 소식을 전했다. 1900년 1월 5일자부터는 외보에 통신원을 표기하여 기사에 대한 신뢰도를 높이기도 했다. 신문사의 인적 기반과 관련해서는 앞서 설명했듯, 『황성신문』의 주요 운영진이었던 남궁억, 나수연, 류근, 이상재, 강화석 등은 독립협회에서 점진적인 개혁을 지향하는 온건세력이었다. 이들은 전통 유학을 바탕으로 삼으면서도 서양 강대국이 재편하는 세계질서를 철저하게 인식하여 대응할 필요성을 느끼고, 왕권 중심의 기존 지배체제 속에서 국권 수호와 문명 부강을 달성하고자 하였다. 이러한 기조가 반영된 황성신문의 논조는 온고지신의 성격을 띠고 있었다. 황성신문의 국권 수호 의지는 1907년 국채보상운동을 민의 힘으로 갚자는 운동)을 적극적으로 지원한 것에서 단적으로 드러난다. 이와 더불어 『황성신문』의 운영에 직간접적으로 참여한 구성원들이 대부분 관인 출신이거나 관인이라는 점은 『황성신문』의 성격을 규정하는 또 다른 요소라고 할 수 있다. 강화석은 외부참서관과 농상공부서기관을, 나수연은 표훈원주부를, 남궁억은 군수와 내부국장을, 장지연은 내부주사를, 현영운은 궁내부관리와 군부국장, 농상공부서리대신 등을 지냈다. 이들은 기존 체제의 이익집단으로서 기본적으로는 체제 유지를 전제한 개혁을 추구하였다. 『황성신문』은 비록 정치, 경제, 사회, 교육 등의 분야에서의 평등을 주창하고 민권 신장을 외쳤지만, 이는 어디까지나 지배체제의 공고한 틀 안에서 이루어지는 일정한 한계를 지니고 있었다."
사건,고구려 건국,,고구려 건국의 주도세력은 압록강 중상류 지역에 살고 있던 주민 집단과 부여계의 남하 집단과의 융합으로 이루어졌다. 또한 하천과 계곡을 기준으로 만들어진 ‘나’라고 하는 작은 정치 단위들의 상호 협력과 정복 과정을 통해 국가를 형성하였다.
사건,고구려 건국,,"『삼국사기』 등에 전하는 건국 설화에 따르면 고구려를 세운 사람은 부여에서 남하한 주몽이다. 주몽의 아버지는 천제의 아들인 해모수이고, 어머니는 물을 다스리는 하백의 딸 유화라고 전한다. 유화는 부모의 허락 없이 해모수와 정을 통하여 쫓겨났다가 부여의 왕인 금와왕에게 거두어졌다. 부여 왕궁에 머물게 된 유화의 몸에는 햇빛이 따라 다니며 비추었는데 이 때문에 임신이 되었다. 유화는 얼마 후 사람이 아닌 알을 낳았고, 그 알을 깨고 나온 것이 바로 주몽이다. 주몽은 어렸을 때부터 활을 잘 쏘고 재주가 뛰어나 부여의 왕자 대소 등에게 시기의 대상이 되었다. 이에 부여에서 용납되지 못함을 알고, 자신을 따르는 동료들과 함께 남쪽으로 도망하였다. 주몽은 기원전 37년 졸본천에 도읍을 정하고 고구려를 건국하였다. 원래 이 지역에 자리를 잡고 있던 비류국의 송양왕과 경쟁 관계를 형성하기도 하였으나 타고난 재주와 권능으로 제압하였고, 이후 주변국들에 대한 정복 활동을 통해 나라의 기틀을 다졌다. 기원전 19년(동명성왕 19) 부여에 남겨 두고 왔던 부인과 함께 아들 유리가 찾아오자 태자로 임명하였고 같은 해에 세상을 떠났다. 사후에는 동명성왕이라 일컬어지게 되었다."
사건,고구려 건국,,"고구려 건국 설화의 내용은 상당 부분 부여의 건국 설화인 동명 설화를 차용한 것이다. 따라서 그 내용을 있는 그대로 역사적 사실이라 믿기는 어렵다. 하지만 한편으로는 전혀 상관이 없는 집단이 부여의 건국 설화를 차용해 사용했다는 것도 생각하기 힘들다. 부여계 집단이 남하하여 고구려라는 정치 집단을 형성하는 데 참여한 것은 사실이라 보는 것이 합리적인 해석일 것이다. 이와 관련해 주목되는 것이 고구려 5부 중 ‘계루부’가 가지고 있는 이질적인 부명이다. 『삼국지』나 『후한서』에 따르면 다른 부들은 모두 ‘○’라는 형식을 취하고 있으나, 계루부만은 예외이다. 이를 통해 계루부가 나머지 네 부와는 출자 계통이 다소 달랐으리라는 짐작이 가능하다. 다만 고고학적으로 보았을 때 부여계 집단이 대규모로 남하했던 흔적은 확인되지 않는다. 부여의 중심지인 길림 지역과 고구려 중심지인 압록강 중상류 지역은 무덤 양식이 서로 다른데, 부여에서는 청동기시대에 돌널무덤을 조성하다가 철기시대에는 움무덤을 조성하였다. 반면 압록강 중상류에서는 기원전 4세기부터 기원후 5세기 전반까지 돌무지무덤이 주된 무덤 양식이었고, 돌널무덤이나 움무덤은 조성되지는 않았다. 만약 부여계 집단이 대규모로 남하했다면 압록강 중상류에서도 돌널무덤이나 움무덤이 조성되었어야 하는데, 그러한 양상이 보이지 않는 것이다. 부여 계통 집단의 남하는 오랜 기간에 걸친 점진적인 것이었고 토착 집단과의 융합과 동화 현상을 거치며 진행되었기에 급격한 고고학적 변동이 발생하지 않았던 것으로 여겨진다. 이와 관련해 주목되는 유적이 고구려 초기 도읍지였던 환인 지역의 망강루 고분 유적이다. 이곳에서는 고구려 특유의 초기 무기단 돌무지무덤에서 부여계 귀고리 장식이 출토된 바 있다. 이는 부여계 집단과 고구려 토착 집단의 교류와 융합을 보여 주는 대표적 사례이다. 한편 중국의 역사서인 『삼국지』에는 “고구려는 부여의 별종”이며, 말이나 풍속이 부여와 비슷한 점이 많다고 기록되어 있다. 『삼국지』는 진수가 편찬한 중국의 대표적인 정사이다. 「위지」에 수록되어 있는 동이전은 3세기 무렵 한반도와 만주 일대에 분포하던 종족들과 초기 정치체들에 대한 중요한 기록으로, 사료적 가치가 매우 높다. 『삼국지』에서는 고구려에 원래 다섯 부가 있는데, 각각 연노부·절노부·순노부·관노부·계루부라 하였고, 원래 연노부에서 왕이 나왔으나 『삼국지』가 편찬되던 시기에는 계루부에서 왕위를 차지하고 있다고 하였다. 『후한서』에서는 연노부를 소노부라고 표기하고 있다. ‘별종’이라는 것은 본류에서 갈라져 나온 새로운 지파를 의미하는데, 이는 고구려 건국 설화의 내용과도 부합한다. 하지만 같은 책에서는 부여 종족에 대해 예족라고 서술하고 있는 반면 고구려에 대해서는 맥족으로 서술하여 다소 혼란스러운 모습을 보이기도 한다. 또 다른 중국 사서인 『후한서』에서도 고구려는 맥족으로 규정되어 있는 동시에 동예와 같은 종족이라는 서술이 공존하기도 한다. 예족은 매우 광범위한 지역에 걸쳐 존재했던 종족이다. 북으로는 부여 지역으로부터 남으로는 경상북도 일원까지 분포하였던 것으로 여겨진다. 특히 한반도 내에서는 동해안 지역을 따라 많이 거주하였던 것으로 파악된다. 경상북도 포항시에서는 ‘진솔선예백장’이라고 새겨진 청동 도장이 나온 바 있는데, 이는 중국 진나라 조정에서 이민족의 수장에게 수여하였던 도장이다. 『후한서』에 따르면 예족은 남쪽으로 진한과 접해 있다고 하였는데, 실제로 예족의 분포가 경상북도 일원에까지 미치고 있었음을 보여 주는 실물 자료인 셈이다. 예족은 북만주의 지린 지역에서 한반도 남부까지 광범위하게 분포하였던 족속이다. 기록에 따라 ‘예’라 표기하기도 하고, ‘예’라 표기하기도 한다. 그중 일부가 분화하여 고구려 집단을 형성하게 되었는데, 이들을 점차 맥족이라고 구분해 부르게 되었던 것으로 여겨진다. 때문에 맥족인 고구려를 예족인 부여의 별종이라고 서술하거나, 동예와 같은 족속이라고 하는 등의 기록이 남았던 것이다. 부여와 고구려는 과거 어느 단계에서 분화되기는 하였으나 원래 같은 족속이었기 때문에 재차 융합하는 과정에서도 큰 문제가 발생하지는 않았던 것으로 보인다."
사건,고구려 건국,,"고구려라는 말에서 어간이 되는 것은 원래 ‘구려’였던 것으로 보인다. 『후한서』에 ‘구려’라는 표현이 나오고 있으며 전한 왕조를 끝내고 신을 세운 왕망이 고구려를 공격해 구려후 추를 죽인 후 하구려후라고 부르게 했다는 이야기도 전한다. 왕망은 구려후 추를 죽였다고 한다. 그런데 고구려 시조인 주몽의 다른 표기가 바로 추모이므로, 왕망이 고구려후 추를 죽였다는 기록을 주몽과 연관시켜 생각해 볼 수 있을 것이다, 『삼국사기』에서 이에 해당하는 기록은 유리왕 31년의 기사이다. 여기에서는 다소 다른 이야기를 전한다. 왕망이 장수를 보내어 고구려를 공격한 것은 맞지만 그들이 죽인 것은 연비라는 고구려 장수라는 것이다. 『삼국사기』의 연대를 따르면 이때는 주몽의 아들 유리가 왕위에 오르고 나서도 한참이 지난 때였다. 자연히 중국측 기록에 오류가 있는 것으로 생각해 볼 수 있다. 다만 이 시기 고구려가 여러 소정치체의 연합 형태를 띠고 있었음을 감안하면 각 정치체의 수장을 의미하는 뜻으로 ‘추’라는 호칭이 널리 사용되고 있었을 가능성을 생각할 수 있다. 애초 ‘주몽’이라는 이름도 부여에서 활을 잘 쏘는 사람을 가리키는 일반명사였기 때문이다. 그렇다면 왕망은 고구려를 구성하였던 여러 정치체 중 한 집단의 수장을 죽이고 그것을 기록에 남긴 것일 수도 있다. 이를 통해 ‘구려’가 기본이 되는 말이고, 그 앞의 ‘고’는 수식하여 붙은 것임을 짐작할 수 있다. 고구려에서는 원래 성을 ‘구루’나 ‘홀’이라고 하였는데, 이는 ‘고을’을 의미하는 것이다. 따라서 고구려라는 국명은 ‘큰 고을’, ‘높은 성’이라는 의미를 지닌 것으로 볼 수 있다. 압록강 중상류 유역에는 원래 ‘나’라고 하는 다수의 지역 집단들이 존재하였다. 이들은 하천과 골짜기를 기준으로 주거하며 집단을 형성하였고, 상호 연합과 무력을 통한 복속 등의 정치적 변동을 겪었고, 그 과정에서 부여계 이주 세력도 일정한 역할을 하였던 것으로 여겨진다. 고구려의 나 집단들은 최종적으로 다섯 개의 정치 집단으로 재편되었다. 이것이 고구려 5부이다. 5부 중에서도 가장 강한 힘을 가진 계루부는 왕을 배출하는 한편, 외교와 전쟁 등 대외적인 권한을 독점하였다. 고구려의 왕은 계루부를 대표하는 부의 장이면서, 동시에 5개 부 전체와 고구려를 대표하는 존재이기도 하였다. 외교나 전쟁과 같은 대외 교섭권은 왕에게 위임되었지만, 각각의 부는 부 내의 자치권을 보장받았고, 부의 장은 각기 독립적인 관원들을 둘 수도 있었던 것으로 보인다. 『삼국사기』에는 태조대왕대인 72년(태조대왕 20)과 74년(태조대왕 22) 5부의 구성원인 관나부와 환나부가 각각 조나와 주나를 정벌하였다는 기록이 나오는데, 이후 더 이상 비슷한 기록은 등장하지 않는다. 이는 태조대왕 대에 독립적인 정치 집단인 나 세력들에 대한 편제가 사실상 마무리되었음을 의미한다. 이를 통해 보면 고구려는 기원전에 현도군 축출을 거치며 나 정치 집단 간의 결합 등 정치적 성장을 이어나가다가 1세기 중후반 경 5부를 중심으로 한 통합적인 국가 체제 확립에 도달했던 것으로 볼 수 있다."
사건,김헌창의 난,,신라 무열왕계의 유력한 귀족이었던 김헌창이 자신의 부임지였던 웅천주에서 일으킨 대규모 반란이다. 반란군은 한때 신라의 9개 주 중에서 5개 주를 장악할 정도로 기세가 거셌으나 결국 진압되었고 김헌창은 자결하였다.
사건,포상팔국의 난,,"3세기 전반 후한이 멸망하면서 동아시아 전역은 새로운 변화를 맞이하게 되었다. 특히 중국 군현(한사군)과 활발히 교역하던 변한 지역 정치체들이 받은 영향은 매우 컸다. 급변하는 국제 정세 속에서 지역의 패권을 장악하고자 경남 해안에 자리 잡은 8개의 국가가 모의하여 일으킨 전쟁이 포상팔국의 난이다. 이들 8개국은 연합하여 가라(혹은 안라)를 공격하였는데, 가라의 구원 요청을 받은 신라가 전쟁에 개입함으로써 포상팔국은 전쟁에서 패배하고 말았다. 그 결과 이들 8개국은 대부분 주변국에 흡수되거나 멸망하였던 것으로 추정된다. 이 전쟁은 전기가야연맹의 중심이었던 가라(금관가야)가 쇠퇴하고 안라 등 내륙 세력이 부상하는 계기가 되었으며, 나아가 가야 사회가 전기가야연맹에서 후기가야연맹으로 전환되는 변곡점이 되었다."
사건,김헌창의 난,,"785년(선덕왕 6) 선덕왕이 아들을 남기지 못한 채 죽으며 신라에서는 왕위 계승을 둔 갈등이 발생하였다. 차기 왕으로 가장 유력했던 사람은 친족인 김주원이었다. 그는 무열왕의 후손으로, 혜공왕대 시중의 직을 지냈던 신라 정계의 중심인물이었다. 군신들은 후사를 논의한 결과 김주원을 왕으로 세우기로 하였다. 그런데 뜻밖에 문제가 발생하였다. 김주원의 집은 경주 북쪽 20리 떨어진 곳에 있었는데, 갑자기 큰 비가 와 알천의 물이 불어 건너오지 못하게 된 것이다. 이에 어떤 이가 폭우가 내린 것은 하늘이 뜻이라 말하며 덕망이 높은 김경신을 새로운 왕으로 추대하자고 제안하여 왕위의 주인이 바뀌게 되었다. 이렇게 왕위에 오른 김경신이 바로 원성왕이다. 이 내용은 매우 설화적인 성격이 강하다. 『삼국유사』 기이 원성대왕조에는 더 자세한 내용이 실려 있는데, 김주원은 상재였고 김경신은 그 다음인 이재였다고 한다. 그런데 김경신이 왕이 되는 것을 암시하는 꿈을 꾸었고 은밀히 북천신에게 제사를 올린 결과 북천의 물이 불어 김주원이 궁궐로 오지 못하게 되면서 김경신이 왕이 되었다는 것이다. 그러나 실상은 김경신이 정변을 일으켜 왕위를 탈취했다고 볼 수 있을 것이다. 원성왕은 내물마립간의 12대손으로 혜공왕대 말에 왕궁을 범한 김지정의 반란을 진압하고 선덕왕이 즉위하는 데 공을 세우며 상대등의 직에 올랐던 인물이다. 그러한 만큼 과단성이 있고 무력의 사용에도 거리낌이 없었다고 여겨진다. 전승에서는 알천의 물이 불어 김주원이 오지 못하게 되었고 그 결과 자연스럽게 원성왕에게 왕위가 돌아간 것처럼 설명되고 있으나, 실제로는 원성왕이 무력을 이용해 신속하게 왕궁을 장악하고 스스로 왕위에 올랐던 것으로 여겨진다. 왕위 계승에 실패한 김주원은 신라의 중앙 정계에서 퇴진하여 명주(지금의 강원도 강릉시) 지역으로 물러나게 되었다."
사건,김헌창의 난,,"원성왕 이후 그의 자손들이 차례로 왕위에 올랐으나, 이들은 대부분 수명이 짧거나 반란에 휘말려 시해되는 등 재위 기간은 그리 길지 못했다. 30여 년이 지나 원성왕의 손자인 헌덕왕이 왕위에 있던 822년(헌덕왕 14) 김주원의 아들 김헌창이 반란을 일으켰다. 반란을 일으킬 당시 김헌창은 웅천주도독이었으며, 장안이라는 국호를 내세우고 경운이라는 연호를 사용하였다. 김헌창이 난을 일으킨 명목은 자신의 아버지 김주원이 왕위에 오르지 못한 것에 불만이라고 전한다. 이와 동시에 그가 원성왕계의 경계와 감시 대상이 되어 중앙 정계에서 밀려나 지방을 떠돌게 된 것에 대한 불만이 실질적인 이유라고 해석되기도 한다. 김헌창은 잠시 시중의 직을 맡기도 하였으나 무진주도독, 청주도독 등 지방직을 계속 맡았으며, 난을 일으키기 직전에는 다시 웅천주도독에 임명되었던 터였다. 김헌창이 난을 일으키자 무진주, 완산주, 청주, 사벌주가 가세하였고, 국원경, 서원경, 금관경과 여러 군현의 수령들이 가세하였다. 신라의 9개 주 중 무려 5개 주가 반란에 가담하였다. 반면 한산주, 우두주, 삽량주의 3개 주와 패강진, 북원경 등은 김헌창이 난을 일으킬 것을 미리 알고 병사를 일으켜 스스로 수비하였다고 한다. 이들이 난을 일으킬 것을 미리 알았다는 것은 김헌창이 거병에 앞서 모든 지방에 동참을 요구했다는 것을 짐작케 한다. 일부 지역은 난에 직접 가담하지 않았으나, 이들 지역 중 상당수는 반란군과 신라 조정 사이에서 다소 관망적인 자세를 취하였다. 김헌창의 반란이 이처럼 삽시간에 전국적인 규모로 확대될 수 있었던 것은 중앙 권력에 대한 지방의 불만이 그만큼 팽배해 있었기 때문이라고 볼 수 있다."
